alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
fog-harbor-fish-house-san-francisco-2,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 37.809041, 'longitude': -122.410233}",(415) 421-2442,5827.740044156521,f-m7-hyFzkf0HSEeQ2s-9A,https://s3-media1.fl.yelpcdn.com/bphoto/Lv7tIRX3Bim9bKqtWifmNg/o.jpg,False,"{'address1': 'Pier 39', 'address2': 'Ste A-202', 'address3': '', 'city': 'San Francisco', 'zip_code': '94133', 'country': 'US', 'state': 'CA', 'display_address': ['Pier 39', 'Ste A-202', 'San Francisco, CA 94133']}",Fog Harbor Fish House,+14154212442,$$,4.0,6048,['restaurant_reservation'],https://www.yelp.com/biz/fog-harbor-fish-house-san-francisco-2?adjust_creative=0twhNDc137DaRrS6pAPpog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0twhNDc137DaRrS6pAPpog
the-house-san-francisco,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}]","{'latitude': 37.79851, 'longitude': -122.40706}",(415) 986-8612,4911.928931733509,ZoZjbOYR-apY8XvommlNUA,https://s3-media2.fl.yelpcdn.com/bphoto/UzrNIkdGTZ1-cXuQDsKUmA/o.jpg,False,"{'address1': '1230 Grant Ave', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94133', 'country': 'US', 'state': 'CA', 'display_address': ['1230 Grant Ave', 'San Francisco, CA 94133']}",The House,+14159868612,$$$,4.5,4835,['restaurant_reservation'],https://www.yelp.com/biz/the-house-san-francisco?adjust_creative=0twhNDc137DaRrS6pAPpog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0twhNDc137DaRrS6pAPpog
presidio-kebab-san-francisco,"[{'alias': 'kebab', 'title': 'Kebab'}]","{'latitude': 37.7880728, 'longitude': -122.4468073}",(415) 947-7163,3155.7649884655425,z4g4bZPR-Z8bFlwv9APl2w,https://s3-media2.fl.yelpcdn.com/bphoto/7ZiQyS6w29emAhpgHXpR6A/o.jpg,False,"{'address1': '3277 Sacramento St', 'address2': '', 'address3': None, 'city': 'San Francisco', 'zip_code': '94115', 'country': 'US', 'state': 'CA', 'display_address': ['3277 Sacramento St', 'San Francisco, CA 94115']}",Presidio Kebab,+14159477163,$$,4.5,15,[],https://www.yelp.com/biz/presidio-kebab-san-francisco?adjust_creative=0twhNDc137DaRrS6pAPpog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0twhNDc137DaRrS6pAPpog
farmhouse-kitchen-thai-cuisine-san-francisco,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]","{'latitude': 37.76026094, 'longitude': -122.4112048}",(415) 814-2920,2220.139249062676,8kck3-K4zYKTJbJko0JlXQ,https://s3-media1.fl.yelpcdn.com/bphoto/woO06sua7uMQNBf0wnjf8w/o.jpg,False,"{'address1': '710 Florida St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94110', 'country': 'US', 'state': 'CA', 'display_address': ['710 Florida St', 'San Francisco, CA 94110']}",Farmhouse Kitchen Thai Cuisine,+14158142920,$$,4.0,2416,"['delivery', 'restaurant_reservation', 'pickup']",https://www.yelp.com/biz/farmhouse-kitchen-thai-cuisine-san-francisco?adjust_creative=0twhNDc137DaRrS6pAPpog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0twhNDc137DaRrS6pAPpog
um-ma-san-francisco-3,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}]","{'latitude': 37.7655, 'longitude': -122.46608}",(415) 566-5777,2664.4699746595206,9Z9EETl8fZIP4s9KOHr5kg,https://s3-media4.fl.yelpcdn.com/bphoto/9ILbI4cYVyeuVnTi4kGzjA/o.jpg,False,"{'address1': '1220 9th Ave', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94122', 'country': 'US', 'state': 'CA', 'display_address': ['1220 9th Ave', 'San Francisco, CA 94122']}",um.ma,+14155665777,$$,4.0,323,"['delivery', 'restaurant_reservation', 'pickup']",https://www.yelp.com/biz/um-ma-san-francisco-3?adjust_creative=0twhNDc137DaRrS6pAPpog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0twhNDc137DaRrS6pAPpog
scomas-restaurant-san-francisco-3,"[{'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 37.808952, 'longitude': -122.418487}",(415) 271-3816,5570.65144598489,jqEpBbf_qNfWuz_GBkwCjw,https://s3-media4.fl.yelpcdn.com/bphoto/5ZqAdIz1IhUDlmK6qP3WvA/o.jpg,False,"{'address1': '1965 Al Scoma Way', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94133', 'country': 'US', 'state': 'CA', 'display_address': ['1965 Al Scoma Way', 'San Francisco, CA 94133']}",Scoma's Restaurant,+14152713816,$$$,4.0,3760,"['delivery', 'restaurant_reservation']",https://www.yelp.com/biz/scomas-restaurant-san-francisco-3?adjust_creative=0twhNDc137DaRrS6pAPpog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0twhNDc137DaRrS6pAPpog
the-front-porch-san-francisco,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 37.7438, 'longitude': -122.422035}",(415) 695-7800,2285.237602234066,wxzx3duu1c0CcomzEOvfOQ,https://s3-media1.fl.yelpcdn.com/bphoto/0fmMVyqSKOMIqtkQksUTUQ/o.jpg,False,"{'address1': '65 29th St', 'address2': 'Ste A', 'address3': '', 'city': 'San Francisco', 'zip_code': '94110', 'country': 'US', 'state': 'CA', 'display_address': ['65 29th St', 'Ste A', 'San Francisco, CA 94110']}",The Front Porch,+14156957800,$$,4.0,2816,"['delivery', 'restaurant_reservation', 'pickup']",https://www.yelp.com/biz/the-front-porch-san-francisco?adjust_creative=0twhNDc137DaRrS6pAPpog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0twhNDc137DaRrS6pAPpog
burma-superstar-san-francisco-2,"[{'alias': 'burmese', 'title': 'Burmese'}]","{'latitude': 37.782787322998, 'longitude': -122.462539672852}",(415) 387-2147,3348.056372269087,eYXwVR4mMAjzkJnm5wneHQ,https://s3-media4.fl.yelpcdn.com/bphoto/Rt-zOS-uNY0cafsq1UeoDw/o.jpg,False,"{'address1': '309 Clement St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94118', 'country': 'US', 'state': 'CA', 'display_address': ['309 Clement St', 'San Francisco, CA 94118']}",Burma Superstar,+14153872147,$$,4.0,6764,"['delivery', 'pickup']",https://www.yelp.com/biz/burma-superstar-san-francisco-2?adjust_creative=0twhNDc137DaRrS6pAPpog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0twhNDc137DaRrS6pAPpog
tuba-authentic-turkish-restaurant-san-francisco,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'turkish', 'title': 'Turkish'}]","{'latitude': 37.754898, 'longitude': -122.422906}",(415) 826-8822,1361.904040975519,bH8FgQYhxkj5qQ4wL7vPFA,https://s3-media1.fl.yelpcdn.com/bphoto/xLnGt1Xzex00DtcVS1mqBA/o.jpg,False,"{'address1': '1007 Guerrero St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94110', 'country': 'US', 'state': 'CA', 'display_address': ['1007 Guerrero St', 'San Francisco, CA 94110']}",Tuba Authentic Turkish Restaurant,+14158268822,$$,4.5,1026,"['pickup', 'delivery', 'restaurant_reservation']",https://www.yelp.com/biz/tuba-authentic-turkish-restaurant-san-francisco?adjust_creative=0twhNDc137DaRrS6pAPpog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0twhNDc137DaRrS6pAPpog
daeho-kalbijjim-and-beef-soup-san-francisco-9,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'soup', 'title': 'Soup'}, {'alias': 'noodles', 'title': 'Noodles'}]","{'latitude': 37.78601, 'longitude': -122.42858}",(415) 563-1388,2867.8335670207744,dY0Mc_PHH6nLENvWmVtwxQ,https://s3-media2.fl.yelpcdn.com/bphoto/LaFYy38ZDs39NsqIm6Wz4g/o.jpg,False,"{'address1': '1620 Post St', 'address2': '', 'address3': None, 'city': 'San Francisco', 'zip_code': '94115', 'country': 'US', 'state': 'CA', 'display_address': ['1620 Post St', 'San Francisco, CA 94115']}",Daeho Kalbijjim & Beef Soup,+14155631388,$$,4.5,760,"['delivery', 'pickup']",https://www.yelp.com/biz/daeho-kalbijjim-and-beef-soup-san-francisco-9?adjust_creative=0twhNDc137DaRrS6pAPpog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0twhNDc137DaRrS6pAPpog
